State,Code,District,Headquarters,Population,Area,Density,Longitude,Latitude
Tamil Nadu,CG,Chengalpattu,Chengalpattu,Survey pending,Pending,Pending,79.99931907,12.76657415
Tamil Nadu,CH,Chennai,Chennai,4681087,174,26903,80.2838331,13.0801721
Tamil Nadu,CO,Coimbatore,Coimbatore,3472578,7469,748,76.9628425,11.0018115
Tamil Nadu,CU,Cuddalore,Cuddalore,2600880,3999,702,79.75030644,11.74269375
Tamil Nadu,DH,Dharmapuri,Dharmapuri,1502900,4532,332,78.19304301,12.09680475
Tamil Nadu,DI,Dindigul,Dindigul,2161367,6058,357,78.06739791,10.3303299
Tamil Nadu,ER,Erode,Erode,2259608,5714,397,77.67662687,11.3692044
Tamil Nadu,KL,Kallakurichi,Kallakurichi,Survey pending,Pending,Pending,79.03882106,11.79468465
Tamil Nadu,KC,Kanchipuram,Kanchipuram,3990897,4433,927,79.9839686,12.9647163
Tamil Nadu,KK,Kanyakumari,Nagercoil,1863178,1685,1106,77.4290492,8.1880471
Tamil Nadu,KA,Karur,Karur,1076588,2901,371,78.08485455,10.9301522
Tamil Nadu,KR,Krishnagiri,Krishnagiri,1883731,5086,370,78.2206536,12.5188835
Tamil Nadu,MA,Madurai,Madurai,3991038,3676,823,78.1140983,9.9261153
Tamil Nadu,,Mayiladuthurai,Mayiladuthurai,,,,79.62739426,11.1551822
Tamil Nadu,NG,Nagapattinam,Nagapattinam,1614069,2716,668,79.82465978,10.8056276
Tamil Nadu,NI,Nilgiris,Ooty,735071,2549,288,76.69591556,11.4037401
Tamil Nadu,NM,Namakkal,Namakkal,1721179,3429,506,78.23739802,11.2191319
Tamil Nadu,PE,Perambalur,Perambalur,564511,1752,323,78.81825555,11.2287716
Tamil Nadu,PU,Pudukkottai,Pudukkottai,1918725,4651,348,78.833333,10.5
Tamil Nadu,RA,Ramanathapuram,Ramanathapuram,1337560,4123,320,78.85907072,9.3895523
Tamil Nadu,RN,Ranipet,Ranipet,Survey pending,Pending,Pending,79.3330076,12.9272641
Tamil Nadu,SA,Salem,Salem,3480008,5245,663,78.1602498,11.6612012
Tamil Nadu,SI,Sivaganga,Sivaganga,1341250,4086,324,78.53047155,9.851231
Tamil Nadu,TE,Tenkasi,Tenkasi,Survey pending,Pending,Pending,77.4758369,9.09407535
Tamil Nadu,TP,Tirupur,Tirupur,2471222,5106,476,77.3472673,11.1671878
Tamil Nadu,TC,Tiruchirappalli,Tiruchirappalli,2713858,4407,602,78.6870296,10.804973
Tamil Nadu,TH,Theni,Theni,1243684,3066,433,77.47420049,9.9696643
Tamil Nadu,TI,Tirunelveli,Tirunelveli,3072880,6703,458,77.8114843,8.8082342
Tamil Nadu,TJ,Thanjavur,Thanjavur,2402781,3397,691,79.1381497,10.7860267
Tamil Nadu,TK,Thoothukudi,Thoothukudi,1738376,4594,378,78.1452745,8.8052602
Tamil Nadu,TP,Tirupattur,Tirupattur,1111812,1797,618,78.5618167,12.4983561
Tamil Nadu,TL,Tiruvallur,Tiruvallur,3725697,3424,1049,79.9073038,13.1394358
Tamil Nadu,TR,Tiruvarur,Tiruvarur,1268094,2377,533,79.6279725,10.7745978
Tamil Nadu,TV,Tiruvannamalai,Tiruvannaamalai,2468965,6191,399,12.2253,79.0747
Tamil Nadu,VE,Vellore,Vellore,3928106,6077,646,79.0006411,12.7948109
Tamil Nadu,VL,Viluppuram,Viluppuram,3463284,7190,462,79.50789298,11.9137874
Tamil Nadu,VR,Virudhunagar,Virudhunagar,1943309,3446,454,77.8784564,9.5208936
Telangana,AD,Adilabad,Adilabad,708952,4185.97,171,78.5,19.5
Telangana, –,Komaram Bheem,Komaram Bheem,515835,4300.16,106,19.3619,79.293
Telangana, –,Bhadradri Kothagudem,Kothagudem,1304811,8951,143,80.6116162,17.5456307
Telangana,HY,Hyderabad,Hyderabad,3441992,4325.29,18172,78.46106473,17.38878595
Telangana, –,Jagtial,Jagtial,983414,3043.23,407,78.91506633,18.82135895
Telangana, –,Jangaon,Jangaon,582457,2187.5,259,79.25901525,17.7265463
Telangana, –,Jayashankar Bhupalpally,Bhupalpalle,712257,6361.7,115,18.4293,79.8635
Telangana, –,Jogulamba Gadwal,Gadwal,664971,2928,208,77.7946371,16.2347032
Telangana, –,Kamareddy,Kamareddy,972625,3651,266,78.05393808,18.316551
Telangana,KA,Karimnagar,Karimnagar,1016063,2379.07,473,79.1322648,18.4346438
Telangana,KH,Khammam,Khammam,1401639,4453,321,80.333333,17.5
Telangana, –,Mahabubabad,Mahabubabad,770170,2876.7,269,80.04134253,17.7138983
Telangana,MA,Mahbubnagar,Mahbubnagar,1318110,4037,281,77.9923191,16.7434538
Telangana, –,Mancherial,Mancherial,807037,4056.36,201,79.4449696,18.8761795
Telangana,ME,Medak,Medak,767428,2740.89,275,78.21174499,17.9375095
Telangana, –,Medchal-Malkajgiri,Shamirpet,2542203,5005.98,2251,78.5743878,17.5942672
Telangana,,Mulugu,,,,,79.1151663,17.8495919
Telangana,NA,Nalgonda,Nalgonda,1631399,2449.79,227,79.21749353,16.8579636
Telangana,,Narayanpet,,,,,79.1151663,17.8495919
Telangana, –,Nagarkurnool,Nagarkurnool,893308,6545,124,78.68304333,16.41576265
Telangana, –,Nirmal,Nirmal,709415,3562.51,185,78.39660898,19.09152095
Telangana,NI,Nizamabad,Nizamabad,1534428,4153,366,78.25,18.75
Telangana, –,Peddapalli,Peddapalle,795332,4614.74,356,77.760645,16.1722391
Telangana, –,Rajanna Sircilla,Sircilla,546121,2030.89,273,78.79588753,18.39303385
Telangana,RA,Ranga Reddy,Shamshabad,2551731,1038,486,78.7617896,19.7273038
Telangana, –,Sangareddy,Sangareddy,1527628,4464.87,347,77.82281995,17.86859205
Telangana, –,Siddipet,Siddipet,993376,3425.19,279,78.89611305,18.0055851
Telangana, –,Suryapet,Suryapet,1099560,3374.47,305,79.79253297,17.08001385
Telangana, –,Vikarabad,Vikarabad,881250,3385,274,77.74529701,17.2702855
Telangana, –,Wanaparthy,Wanaparthy,751553,2938,268,77.98644727,16.2852944
Telangana,WL,Warangal Urban,Warangal,1135707,1304.5,826,79.5982115,17.9806094
Telangana, –,Warangal Rural,Geesugonda,716457,2175.5,330,79.6971845,17.9679155
Telangana, –,Yadadri Bhuvanagiri,Bhongiri,726465,3091.48,239,79.5019649,16.8143748
Tripura,DH,Dhalai,Ambassa,377988,2400,157,91.86442303,23.88793835
Tripura,GM,Gomati,"Udaipur, Tripura","4,36,868",1522.8,287,23.5167,91.6372
Tripura,KH,Khowai[14],Khowai,"3,27,391",1005.67,326,91.62320954,24.04673835
Tripura,NT,North Tripura,Dharmanagar,"4,15,946",1444.5,288,92.1655262,24.3734077
Tripura,SP,Sepahijala[15],Bishramganj,"4,84,233",1044.78,463,91.3609716,23.5979829
Tripura,ST,South Tripura,Belonia,"4,33,737",1534.2,283,91.4550309,23.2497879
Tripura,UK,Unokoti[16],Kailashahar,"2,77,335",591.93,469,91.9984289,24.3194297
Tripura,WT,West Tripura,Agartala,"9,17,534",942.55,973,91.2823821,23.8312377
Uttar Pradesh,AG,Agra,Agra,4380793,4027,1084,78.0098161,27.1752554
Uttar Pradesh,AL,Aligarh,Aligarh,3673849,3747,1007,78.13729028,27.87698975
Uttar Pradesh,AH,Allahabad,Allahabad,5959798,5481,1087,81.8338005,25.4381302
Uttar Pradesh,AN,Ambedkar Nagar,Akbarpur,2398709,2372,1021,80.01799968,26.4398744
Uttar Pradesh,CS,Amethi[17],Gauriganj,Survey Pending,Pending,Pending,81.69917,26.2657866
Uttar Pradesh,JP,Amroha,Amroha,1838771,2321,818,78.48831693,28.9233969
Uttar Pradesh,AU,Auraiya,Auraiya,1372287,2051,681,79.51504701,26.65573395
Uttar Pradesh,AZ,Azamgarh,Azamgarh,4616509,4053,1139,83.02887343,26.02269675
Uttar Pradesh,BG,Bagpat,Baghpat,1302156,1345,986,77.33315285,28.97240405
Uttar Pradesh,BH,Bahraich,Bahraich,2384239,4926,415,81.47732128,27.7336958
Uttar Pradesh,BL,Ballia,Ballia,3223642,2981,1081,84.11995931,25.87793255
Uttar Pradesh,BP,Balrampur,Balrampur,2149066,3349,642,82.39541774,27.4504805
Uttar Pradesh,BN,Banda,Banda,1799541,4413,404,80.859666,27.1303344
Uttar Pradesh,BB,Barabanki,Barabanki,3257983,3825,739,81.38609761,26.93823105
Uttar Pradesh,BR,Bareilly,Bareilly,4465344,4120,1084,79.40557094,28.457876
Uttar Pradesh,BS,Basti,Basti,2461056,2687,916,83,27.25
Uttar Pradesh,BH,Bhadohi,Gyanpur,1554203,960,1531,82.38649684,25.3156516
Uttar Pradesh,BI,Bijnor,Bijnor,3683896,4561,808,78.4808784,29.40604895
Uttar Pradesh,BD,Budaun,Budaun,3712738,5168,718,79.04607312,28.06831165
Uttar Pradesh,BU,Bulandshahr,Bulandshahr,3498507,3719,788,77.97479773,28.38886085
Uttar Pradesh,CD,Chandauli,Chandauli,1952713,2554,768,83.24965577,25.1265777
Uttar Pradesh,CT,Chitrakoot,Karwi,990626,3202,315,80.91907246,25.21990895
Uttar Pradesh,DE,Deoria,Deoria,3098637,2535,1220,83.76273169,26.42384715
Uttar Pradesh,ET,Etah,Etah,1761152,2456,717,78.6007864,27.5541146
Uttar Pradesh,EW,Etawah,Etawah,1579160,2287,683,79.09025375,26.71832435
Uttar Pradesh,FZ,Faizabad,Faizabad,2468371,2765,1054,82.05902434,26.63807555
Uttar Pradesh,FR,Farrukhabad,Fatehgarh,1887577,2279,865,79.620752,27.3700748
Uttar Pradesh,FT,Fatehpur,Fatehpur,2632684,4152,634,80.91800397,25.8435395
Uttar Pradesh,FI,Firozabad,Firozabad,2496761,2361,1044,78.38991198,27.17736635
Uttar Pradesh,GB,Gautam Buddh Nagar,Noida,1674714,1269,1252,77.3547609,28.5726442
Uttar Pradesh,GZ,Ghaziabad,Ghaziabad,4661452,1175,3967,77.4445372,28.711241
Uttar Pradesh,GP,Ghazipur,Ghazipur,3622727,3377,1072,83.50745405,25.6035084
Uttar Pradesh,GN,Gonda,Gonda,3431386,4425,857,81.91832912,27.1096669
Uttar Pradesh,GR,Gorakhpur,Gorakhpur,4436275,3325,1336,83.36458284,26.67132865
Uttar Pradesh,HM,Hamirpur,Hamirpur,1104021,4325,268,80,25.75
Uttar Pradesh,PN,Hapur,Hapur,1451983,Pending,Pending,77.83542557,28.7406125
Uttar Pradesh,HR,Hardoi,Hardoi,4091380,5986,683,80.09752646,27.33857665
Uttar Pradesh,HT,Hathras,Hathras,1565678,1752,851,78.11173867,27.57324325
Uttar Pradesh,JL,Jalaun,Orai,1670718,4565,366,79.42432768,25.9359555
Uttar Pradesh,JU,Jaunpur,Jaunpur,4476072,4038,1108,82.48834098,25.7955927
Uttar Pradesh,JH,Jhansi,Jhansi,2000755,5024,398,78.65268902,25.53103115
Uttar Pradesh,KJ,Kannauj,Kannauj,1658005,1993,792,79.68861213,26.9996974
Uttar Pradesh,KD,Kanpur Dehat,Akbarpur,1795092,3021,594,80.01799968,26.4398744
Uttar Pradesh,KN,Kanpur Nagar,Kanpur,4572951,3156,1415,80.3217588,26.4609135
Uttar Pradesh,KR,Kasganj,Kasganj,1438156,1955,736,78.63489004,27.88384605
Uttar Pradesh,KS,Kaushambi,Manjhanpur,1596909,1837,897,81.3302517,25.4029238
Uttar Pradesh,KU,Kushinagar,Padrauna,3560830,2909,1226,83.90103805,27.03180635
Uttar Pradesh,LK,Lakhimpur Kheri,Lakhimpur,4013634,7674,523,80.75384538,27.98506015
Uttar Pradesh,LA,Lalitpur,Lalitpur,1218002,5039,242,78.51866759,24.70038485
Uttar Pradesh,LU,Lucknow,Lucknow,4588455,2528,1815,80.9346001,26.8381
Uttar Pradesh,MG,Maharajganj,Maharajganj,2665292,2953,903,83.56696261,27.09254225
Uttar Pradesh,MH,Mahoba,Mahoba,876055,2847,288,79.70499475,25.36176885
Uttar Pradesh,MP,Mainpuri,Mainpuri,1847194,2760,670,79.04813701,27.2098219
Uttar Pradesh,MT,Mathura,Mathura,2541894,3333,761,77.583333,27.633333
Uttar Pradesh,MB,Mau,Mau,2205170,1713,1287,83.49793418,26.0376878
Uttar Pradesh,ME,Meerut,Meerut,3447405,2522,1342,77.683333,28.916667
Uttar Pradesh,MI,Mirzapur,Mirzapur,2494533,4522,561,82.6477013,24.9356347
Uttar Pradesh,MO,Moradabad,Moradabad,4773138,3718,1284,78.80577833,28.8638424
Uttar Pradesh,MU,Muzaffarnagar,Muzaffarnagar,4138605,4008,1033,77.74068503,29.44800635
Uttar Pradesh,PI,Pilibhit,Pilibhit,2037225,3499,567,80.1075408,28.49520765
Uttar Pradesh,PR,Pratapgarh,Pratapgarh,3173752,3717,854,81.75,25.75
Uttar Pradesh,RB,Raebareli,Raebareli,3404004,4609,739,81.0447907,26.3501557
Uttar Pradesh,RA,Rampur,Rampur,2335398,2367,987,79.18593045,28.79406825
Uttar Pradesh,SA,Saharanpur,Saharanpur,3464228,3689,939,77.50812995,29.9880774
Uttar Pradesh,SM,Sambhal,Sambhal,2217020,,,78.55087405,28.61875255
Uttar Pradesh,SK,Sant Kabir Nagar,Khalilabad,1714300,1442,1014,82.99172907,26.79947155
Uttar Pradesh,SJ,Shahjahanpur,Shahjahanpur,3002376,4575,673,79.74656295,27.91263315
Uttar Pradesh,SH,Shamli[18],Shamli,Survey Pending,Pending,Pending,77.34838259,29.5008816
Uttar Pradesh,SV,Shravasti,Shravasti,1114615,1948,572,82.0263569,27.5083429
Uttar Pradesh,SN,Siddharthnagar,Naugarh,2553526,2751,882,83.12724837,27.29466415
Uttar Pradesh,SI,Sitapur,Sitapur,4474446,5743,779,80.82946583,27.5046392
Uttar Pradesh,SO,Sonbhadra,Robertsganj,1862612,6788,274,83.16261863,24.5977192
Uttar Pradesh,SU,Sultanpur,Sultanpur,3790922,4436,855,82.29616932,26.24251085
Uttar Pradesh,UN,Unnao,Unnao,3110595,4561,682,80.61376178,26.57550365
Uttar Pradesh,VA,Varanasi,Varanasi,3682194,1535,2399,83.0076292,25.3356491
Uttarakhand,AL,Almora,Almora,621927,3090,198,79.43317023,29.703095
Uttarakhand,BA,Bageshwar,Bageshwar,259840,2310,116,79.9302968,30.0086722
Uttarakhand,CL,Chamoli,Gopeshwar,391114,7692,49,79.31855,30.40878
Uttarakhand,CP,Champawat,Champawat,259315,1781,147,80.10172077,29.23631315
Uttarakhand,DD,Dehradun,Dehradun,1698560,3088,550,78.0436813,30.3255646
Uttarakhand,HA,Haridwar,Haridwar,1927029,2360,817,78.1452985,29.9384473
Uttarakhand,NA,Nainital,Nainital,955128,3853,225,79.4176945,29.2031392
Uttarakhand,PG,Pauri Garhwal,Pauri,686527,5438,129,78.7759518,30.1479882
Uttarakhand,PI,Pithoragarh,Pithoragarh,485993,7110,69,80.23183521,29.55701405
Uttarakhand,RP,Rudraprayag,Rudraprayag,236857,1896,119,79.06287965,30.3009965
Uttarakhand,TG,Tehri Garhwal,New Tehri,616409,4085,169,78.43277,30.37445
Uttarakhand,US,Udham Singh Nagar,Rudrapur,1648367,2912,648,79.3963951,28.974744
Uttarakhand,UT,Uttarkashi,Uttarkashi,329686,7951,41,78.63368731,30.9654214
West Bengal,AD,Alipurduar,Alipurduar,1700000,3383,400,89.5246926,26.4851573
West Bengal,BN,Bankura,Bankura,3596292,6882,523,87.2073972,23.13195425
West Bengal,BR,Paschim Bardhaman,Asansol,2882031,1603,1100,86.9746587,23.6871297
West Bengal,BR,Purba Bardhaman,Bardhaman,4835532,5433,890,87.8689422,23.244051
West Bengal,BI,Birbhum,Suri,3502387,4545,771,87.5310132,23.8902958
West Bengal,KB,Cooch Behar,Cooch Behar,2822780,3387,833,89.4592445,26.3223696
West Bengal,DD,Dakshin Dinajpur,Balurghat,1670931,2183,753,88.78900294,25.2634866
West Bengal,DA,Darjeeling,Darjeeling,1842034,3149,585,88.30714958,26.8349002
West Bengal,HG,Hooghly,Chinsurah,5520389,3149,1753,88.38761418,22.96890415
West Bengal,HR,Howrah,Howrah,4841638,1467,3300,88.323139,22.5882216
West Bengal,JA,Jalpaiguri,Jalpaiguri,3869675,6227,621,88.73407701,26.62648365
West Bengal,JH,Jhargram,Jhargram,1136548,3038,370,87.04867177,22.3770636
West Bengal,KA,Kalimpong,Kalimpong,251642,1054,239,88.4729,27.07169
West Bengal,KO,Kolkata,Kolkata,4486679,185,24252,88.3476023,22.5677459
West Bengal,MA,Maldah,English Bazar,3997970,3733,1071,88.12777813,24.96571225
West Bengal,MSD,Murshidabad,Baharampur,7102430,5324,1334,88.2591686,24.0891652
West Bengal,NA,Nadia,Krishnanagar,5168488,3927,1316,88.4958935,23.4058481
West Bengal,PN,North 24 Parganas,Barasat,10082852,4094,2463,88.4889529,22.7176238
West Bengal,PM,Paschim Medinipur,Midnapore,5094238,9345,1076,87.17500551,22.4671958
West Bengal,PR,Purba Medinipur,Tamluk,4417377,4736,923,87.86746237,22.3028351
West Bengal,PU,Purulia,Purulia,2927965,6259,468,86.41893564,23.3711646
West Bengal,PS,South 24 Parganas,Alipore,8153176,9960,819,88.3272782,22.5391712
West Bengal,UD,Uttar Dinajpur,Raiganj,3000849,3180,956,88.12464576,25.6806539
Andaman and Nicobar,NI,Nicobar,Car Nicobar,36842,1841,20,92.77301361,9.187057
Andaman and Nicobar,NA,North and Middle Andaman,Mayabunder,105597,3736,28,92.83131186,12.7701746
Andaman and Nicobar,SA,South Andaman,Port Blair,238142,2672,89,92.7390448,11.6645348
Chandigarh,CH,Chandigarh,Chandigarh,1055450,114,9258,76.7646552,30.7194022
Daman and Diu,DA,Daman,Daman,"191,173[25]",72[26],2651,72.8637629,20.42000485
Daman and Diu,DI,Diu,Diu,"52,074[27]",39[28],2058,70.93239924,20.71798575
Dadra and Nagar Haveli,DN,Dadra and Nagar Haveli,Silvassa,343709,491,700,73.0045787,20.2736768
Jammu and Kashmir,AN,Anantnag,Anantnag,1070144,2853,375,75.18544753,33.74610995
Jammu and Kashmir,BPR,Bandipora,Bandipore,385099,3010,128,34.5052,74.6869
Jammu and Kashmir,BR,Baramulla,Baramulla,1015503,3329,305,74.36221081,34.20500565
Jammu and Kashmir,BD,Badgam,Badgam,735753,1406,537,74.62914426,33.9099319
Jammu and Kashmir,DO,Doda,Doda,409576,11691,79,75.56752282,33.1774307
Jammu and Kashmir,GB,Ganderbal,Ganderbal,297003,258,1151,74.83434977,34.1934255
Jammu and Kashmir,JA,Jammu,Jammu,1526406,3097,596,74.8580917,32.7185614
Jammu and Kashmir,KT,Kathua,Kathua,615711,2651,232,75.5,32.583333
Jammu and Kashmir,KW,Kishtwar,Kishtwar,230696,7737,30,75.81692388,33.2761171
Jammu and Kashmir,KG,Kulgam,Kulgam,422786,457,925,75.01480232,33.66980055
Jammu and Kashmir,KU,Kupwara,Kupwara,875564,2379,368,74.23847867,34.6110236
Jammu and Kashmir,PO,Poonch,Poonch,476820,1674,285,74.0957143,33.7670004
Jammu and Kashmir,PU,Pulwama,Pulwama,570060,1398,598,74.89634094,33.89829355
Jammu and Kashmir,RA,Rajouri,Rajouri,619266,2630,235,74.3132332,33.3772495
Jammu and Kashmir,RB,Ramban,Ramban,283313,1330,213,75.20509891,33.2116371
Jammu and Kashmir,RS,Reasi,Reasi,314714,1710,184,74.83786982,33.06910315
Jammu and Kashmir,SB,Samba,Samba,318611,913,318,75.12034456,32.57591175
Jammu and Kashmir,SH,Shopian,Shupiyan,265960,312,852,74.8333311,33.718807
Jammu and Kashmir,SR,Srinagar,Srinagar,1269751,2228,703,74.8204443,34.0747444
Jammu and Kashmir,UD,Udhampur,Udhampur,555357,4550,211,75.166667,33
Ladakh,KR,Kargil,Kargil,143388,14036,10,75.66548598,34.42089435
Ladakh,LE,Leh,Leh,147104,45110,3,77.5848133,34.1642029
Lakshadweep,LD,Lakshadweep,Kavaratti,"64,473[29]",30[30],"2,149[31]",72.6365688,10.55905
National Capital Territory of Delhi,CD,Central Delhi,Daryaganj,582320,25,27730,77.243048,28.64609
National Capital Territory of Delhi,ED,East Delhi,Preet Vihar,1709346,440,27132,77.2952594,28.6414409
National Capital Territory of Delhi,ND,New Delhi,Connaught Place,142004,22,4057,77.2197924,28.6313827
National Capital Territory of Delhi,NO,North Delhi,Sadar Bazaar,887978,59,14557,77.1111533,28.5771509
National Capital Territory of Delhi,NE,North East Delhi,Seelampur,2241624,52,36155,77.2668137,28.6698165
National Capital Territory of Delhi,NW,North West Delhi,Kanjhawala,3656539,130,8254,77.0043151,28.7358173
National Capital Territory of Delhi, –,Shahdara,Shahdara, –,59.75, –,77.2890248,28.6733333
National Capital Territory of Delhi,SD,South Delhi,Saket,2731929,250,11060,77.2137253,28.5244107
National Capital Territory of Delhi, –,South East Delhi,Defence Colony, –, –, –,77.23177637,28.5712216
National Capital Territory of Delhi,SW,South West Delhi,Vasant Vihar,2292958,395,5446,77.16079073,28.56069055